Title,Artist,Genre,Year,Danceability,Energy,Valence,Acousticness,Popularity
Give Me Everything,Pitbull,dance pop,2011,67,94,53,19,79
Just the Way You Are,Bruno Mars,pop,2011,64,84,43,2,78
Rolling in the Deep,Adele,british soul,2011,73,76,52,13,76
Run the World (Girls),Beyoncé,dance pop,2011,73,90,76,0,76
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,2011,72,76,62,1,76
Love On Top,Beyoncé,dance pop,2011,65,75,65,8,76
Grenade,Bruno Mars,pop,2011,71,56,23,15,75
Tonight Tonight,Hot Chelle Rae,dance pop,2011,69,78,81,8,75
What the Hell,Avril Lavigne,canadian pop,2011,58,93,88,0,74
Born This Way,Lady Gaga,dance pop,2011,59,83,49,0,73
Monster,Kanye West,chicago rap,2011,63,69,10,0,73
Marry You,Bruno Mars,pop,2011,62,83,48,33,73
Best Thing I Never Had,Beyoncé,dance pop,2011,55,65,30,14,73
Party Rock Anthem,LMFAO,dance pop,2011,75,74,35,2,72
